epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,62.8193,2.81,3.82283,3.66687,0.15134,0.33059,0.24747,0.09713,2.41275,3.89142,3.81445,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,64.826,2.8541,3.69168,3.67656,0.20578,0.26852,0.27291,0.1062,2.3955,3.88574,3.78478,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,66.8247,2.83826,3.55495,3.59734,0.36682,0.27245,0.28701,0.11627,2.36369,3.7757,3.75303,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,68.8729,2.78398,3.35391,3.49855,0.54494,0.26344,0.30955,0.1234,2.31572,3.75159,3.7143,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,70.8785,2.657,3.42539,3.54781,0.40815,0.32991,0.31324,0.1257,2.24712,3.78629,3.68331,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,72.9403,2.72465,3.42242,3.47794,0.38375,0.36621,0.30919,0.13049,2.20091,3.71214,3.62638,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,74.9695,2.77678,3.40892,3.48146,0.27321,0.41563,0.31557,0.13615,2.17161,3.63865,3.56365,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,77.0213,2.6697,3.31128,3.40764,0.31301,0.37578,0.33939,0.14993,2.1334,3.57621,3.48207,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,79.0367,2.58637,3.31513,3.38646,0.36399,0.41893,0.38824,0.18225,2.08983,3.50514,3.45417,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,81.0446,2.50733,3.13574,3.29573,0.34471,0.43746,0.40701,0.21125,2.04217,3.44427,3.43712,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,83.0415,2.53291,3.19596,3.36864,0.32242,0.44267,0.40956,0.21217,2.02642,3.41227,3.41235,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,85.0797,2.59801,3.07242,3.27917,0.33928,0.44594,0.41657,0.21885,1.9985,3.28717,3.37145,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,87.1162,2.44237,3.03027,3.30377,0.38319,0.48173,0.41852,0.21672,1.99049,3.26655,3.34046,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,89.1273,2.45661,3.085,3.25826,0.35695,0.46621,0.41391,0.22105,1.96871,3.23837,3.31321,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,91.1202,2.44739,2.95468,3.22842,0.34415,0.44934,0.41834,0.22127,1.94002,3.17957,3.28625,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,93.1669,2.54504,2.97764,3.18861,0.6514,0.37438,0.44204,0.23201,1.93201,3.12634,3.25788,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,95.2409,2.54418,3.06929,3.2388,0.62091,0.40064,0.44144,0.23343,1.90795,3.12603,3.22562,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,97.2456,2.47726,3.07653,3.16576,0.38037,0.53685,0.46877,0.2467,1.90644,3.09792,3.20442,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,99.2519,2.41827,2.86016,3.14502,0.5102,0.56892,0.51561,0.26463,1.89677,3.09794,3.18037,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,101.303,2.42381,2.83171,3.08623,0.49429,0.56122,0.54175,0.27105,1.87332,3.05618,3.14762,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,103.325,2.42631,2.79747,3.02519,0.47352,0.57595,0.54513,0.27644,1.85762,3.04214,3.1291,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,105.329,2.30237,2.80119,3.01298,0.53042,0.53589,0.56145,0.28533,1.83198,3.01877,3.10036,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,107.328,2.42924,2.78284,3.01963,0.53333,0.56279,0.57052,0.29055,1.80219,2.99768,3.07399,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,109.36,2.2338,2.93332,3.09546,0.54827,0.57849,0.5915,0.3055,1.76589,2.97841,3.03135,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,111.399,2.37158,2.9582,3.05125,0.52368,0.55713,0.59324,0.31118,1.74049,2.9619,3.00647,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,113.407,2.34687,2.79366,2.95959,0.54495,0.56242,0.60241,0.32086,1.7251,2.95523,2.99633,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,115.444,2.32285,2.78411,3.05667,0.53344,0.58856,0.60842,0.31941,1.72437,2.95495,2.99387,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,117.461,2.26008,2.63388,2.98665,0.56464,0.62774,0.63141,0.34004,1.70434,2.88603,2.96793,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,119.498,2.30641,2.82309,3.01696,0.59144,0.63214,0.64642,0.35734,1.68513,2.84142,2.94299,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,121.506,2.23354,2.71989,2.95706,0.58315,0.62635,0.66097,0.37263,1.66657,2.78938,2.92102,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,123.498,2.16879,2.96657,2.99864,0.55236,0.66256,0.6682,0.3757,1.64882,2.78409,2.89862,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,125.522,2.14914,2.76549,2.94852,0.58919,0.69312,0.67801,0.37981,1.63281,2.7839,2.87227,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,127.533,2.1706,2.599,2.9056,0.61238,0.66744,0.67772,0.38173,1.63553,2.78115,2.86711,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,129.548,2.18778,2.52097,2.89596,0.64701,0.67972,0.69631,0.39379,1.63681,2.75577,2.85708,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,131.548,2.02973,2.55507,2.84075,0.68026,0.64269,0.70395,0.4031,1.62358,2.74426,2.84074,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,133.584,2.1502,2.61373,2.92705,0.65437,0.69113,0.71427,0.41664,1.60171,2.71331,2.8076,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,135.646,2.08732,2.57186,2.86398,0.63317,0.68858,0.71397,0.41604,1.59183,2.71068,2.79105,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,137.652,2.12496,2.60174,2.83589,0.6723,0.68716,0.72338,0.42451,1.57725,2.70771,2.78019,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,139.642,2.05705,2.63926,2.89084,0.7238,0.65887,0.73054,0.43202,1.56584,2.70124,2.77025,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,141.678,2.13578,2.53844,2.8158,0.74808,0.66411,0.73291,0.43842,1.56003,2.69995,2.75922,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,143.686,2.14013,2.53239,2.84227,0.76959,0.67742,0.73547,0.44083,1.55342,2.70139,2.7486,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,145.689,2.08353,2.55729,2.77316,0.74726,0.6726,0.72971,0.44211,1.54997,2.6834,2.742,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
73,147.688,1.97525,2.49343,2.76552,0.75045,0.65813,0.73293,0.44282,1.55233,2.68334,2.73554,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
74,149.782,2.04442,2.5746,2.75842,0.73773,0.6647,0.72925,0.44001,1.54558,2.65255,2.72641,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773
75,151.794,2.07648,2.59693,2.8183,0.7123,0.68906,0.73081,0.43851,1.54181,2.64303,2.72178,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
76,153.804,2.01222,2.57146,2.76907,0.70987,0.67439,0.73394,0.44354,1.53154,2.63185,2.70875,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
77,155.812,2.07931,2.45449,2.77144,0.68536,0.70247,0.73885,0.44643,1.52583,2.60601,2.70127,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
78,157.908,2.00955,2.49242,2.76239,0.71414,0.70369,0.74579,0.45559,1.513,2.57842,2.68775,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377
79,159.914,1.9848,2.51931,2.75159,0.75488,0.68892,0.76229,0.47177,1.50398,2.56012,2.67785,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
80,161.944,1.90972,2.53766,2.74873,0.75879,0.72958,0.76768,0.48109,1.4903,2.55409,2.66753,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179
81,163.944,2.04885,2.60425,2.70149,0.75852,0.72428,0.77763,0.48784,1.4816,2.54249,2.65528,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
82,166.005,1.96602,2.41684,2.7083,0.75413,0.71611,0.78863,0.49452,1.46707,2.50501,2.64428,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981
83,168.013,2.00057,2.58046,2.71048,0.76108,0.70403,0.79031,0.50057,1.46086,2.50172,2.63378,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
84,170.015,2.00833,2.38776,2.68872,0.73286,0.73579,0.793,0.50201,1.45409,2.50378,2.6271,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783
85,172.008,1.96168,2.35551,2.66338,0.70795,0.77311,0.79345,0.50251,1.45095,2.50127,2.62401,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
86,174.044,1.98288,2.39702,2.65752,0.70094,0.78106,0.79289,0.50872,1.44269,2.49426,2.61798,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
87,176.047,1.99265,2.53763,2.73472,0.71778,0.78478,0.7909,0.50862,1.43978,2.50618,2.61697,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
88,178.1,1.9645,2.43614,2.75383,0.71276,0.78925,0.79273,0.51012,1.43348,2.51653,2.61194,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387
89,180.089,2.01508,2.48925,2.68625,0.70205,0.78248,0.78775,0.50653,1.4323,2.51924,2.60826,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
90,182.097,1.87253,2.40135,2.63439,0.75566,0.75152,0.79021,0.5088,1.42177,2.52208,2.59916,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189
91,184.232,1.76052,2.44255,2.66672,0.74298,0.75425,0.80062,0.5151,1.42036,2.50635,2.59361,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
92,186.288,1.69959,2.48098,2.67061,0.76287,0.74588,0.80036,0.51521,1.41681,2.50147,2.59068,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05
93,188.287,1.67997,2.3109,2.67768,0.73601,0.76808,0.7954,0.50974,1.41249,2.50942,2.59214,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
94,190.312,1.69417,2.30055,2.62737,0.72186,0.80048,0.7993,0.51468,1.41151,2.4954,2.5861,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05
95,192.305,1.72082,2.3805,2.60174,0.71807,0.77668,0.80038,0.51522,1.41116,2.49565,2.58471,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
96,194.31,1.69499,2.3712,2.64179,0.72983,0.77873,0.79911,0.51231,1.4128,2.48725,2.58351,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
97,196.279,1.74969,2.48852,2.66333,0.73454,0.75967,0.80144,0.51511,1.41585,2.48003,2.58296,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
98,198.303,1.61542,2.30037,2.61795,0.74429,0.78748,0.80707,0.51718,1.4066,2.48607,2.58094,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05
99,200.383,1.63048,2.32287,2.65373,0.72958,0.7933,0.80575,0.51721,1.40755,2.48728,2.57975,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
100,202.388,1.67946,2.40879,2.65332,0.72598,0.79372,0.80429,0.5199,1.40665,2.484,2.5818,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05
