epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,66.4427,2.72724,3.65638,3.41199,0.52589,0.36793,0.2826,0.1285,2.33733,4.02773,3.45301,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,68.5527,2.60012,3.96127,3.4037,0.61682,0.32566,0.36477,0.17055,2.31172,3.97395,3.40415,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,70.6709,2.63551,3.63867,3.37677,0.546,0.46875,0.37805,0.1928,2.24078,3.9203,3.38314,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,72.8004,2.66521,3.57002,3.38445,0.61394,0.37784,0.44908,0.20781,2.20739,3.88478,3.357,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,74.9198,2.62226,3.61938,3.30129,0.66498,0.36476,0.43662,0.19586,2.21249,3.79763,3.35359,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,77.0307,2.51455,3.52728,3.18118,0.42731,0.42084,0.3969,0.19838,2.15174,3.6499,3.30806,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,79.17,2.51485,3.21955,3.14491,0.32366,0.49008,0.40592,0.21044,2.11932,3.5387,3.25789,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,81.2827,2.45591,3.37649,3.21445,0.52228,0.46527,0.38606,0.19813,2.1326,3.52988,3.19316,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,83.3893,2.39647,3.51406,3.17317,0.39374,0.4549,0.43339,0.21057,2.19334,3.53247,3.15704,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,85.4984,2.44906,3.44943,3.06468,0.38417,0.49388,0.46211,0.22596,2.13173,3.43875,3.12423,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,87.6133,2.38363,3.31226,3.03068,0.37959,0.48388,0.46455,0.25223,2.13881,3.39557,3.09917,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,89.7331,2.37867,3.54241,3.10242,0.43137,0.46646,0.47122,0.26333,2.12548,3.41461,3.06195,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,91.8324,2.29216,3.17812,3.00629,0.43435,0.50577,0.50342,0.26993,2.10166,3.26928,3.03091,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,93.9457,2.38438,3.18117,3.03917,0.41978,0.56448,0.52619,0.27776,2.13229,3.31328,3.03963,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,96.0646,2.34575,3.28126,3.0667,0.40566,0.59028,0.52727,0.27938,2.04681,3.25234,2.97519,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,98.1797,2.25799,3.30572,2.89506,0.33667,0.60293,0.56156,0.30532,1.99981,3.19046,2.94117,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,100.301,2.31717,2.98977,2.95465,0.45585,0.63194,0.60786,0.32041,2.01738,3.18188,2.93577,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,102.433,2.15157,2.96451,2.87723,0.5725,0.64322,0.6502,0.33577,2.00828,3.23898,2.91335,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,104.556,2.20266,3.32884,2.98392,0.63329,0.70053,0.66707,0.34023,1.93253,3.12253,2.83638,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
