epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,66.3299,3.24001,4.33611,3.75272,0.24628,0.21334,0.09969,0.02677,2.86751,5.64873,3.83611,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,68.4131,3.13646,4.58551,3.77567,0.09116,0.18159,0.11737,0.03257,2.74924,5.5523,3.77703,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,70.5057,3.09739,4.40639,3.73775,0.31975,0.17269,0.16383,0.05337,2.62945,5.60781,3.71342,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,72.6025,3.04962,4.19565,3.65194,0.51028,0.24425,0.15932,0.0527,2.5465,5.455,3.67868,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,74.6832,3.0941,4.17508,3.62228,0.46279,0.34231,0.18444,0.07036,2.48159,5.17024,3.65156,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,76.775,3.04031,4.26574,3.61586,0.50154,0.28553,0.20191,0.07725,2.41831,4.96967,3.65113,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,78.858,2.99787,3.92932,3.5036,0.4821,0.34567,0.17589,0.074,2.3801,4.79425,3.61714,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,80.9288,2.96712,4.00909,3.53012,0.48765,0.37892,0.18675,0.09036,2.39878,4.81843,3.58595,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,83.0204,3.02587,4.31375,3.53633,0.50749,0.40089,0.20752,0.09815,2.3371,4.71725,3.53763,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,85.1052,2.89881,3.94113,3.43415,0.5069,0.3731,0.2144,0.10139,2.32987,4.45239,3.50975,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,87.1938,2.9014,3.87413,3.42052,0.38048,0.36564,0.23577,0.10734,2.31185,4.37682,3.47307,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,89.2884,2.83768,3.96013,3.39785,0.58252,0.30916,0.28542,0.12784,2.30547,4.17463,3.42585,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,91.3853,2.94443,3.81971,3.39198,0.64068,0.41558,0.35368,0.13584,2.27003,4.10675,3.3801,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,93.4867,2.88969,3.71088,3.33684,0.63739,0.40138,0.38263,0.14455,2.32087,4.08198,3.3904,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,95.585,2.86472,3.72572,3.30668,0.68543,0.38159,0.38276,0.1502,2.37306,4.16303,3.38678,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,97.6914,2.92544,3.88121,3.29391,0.67573,0.35955,0.38214,0.16431,2.31868,4.10634,3.35119,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,99.7833,2.93318,3.64423,3.2644,0.45724,0.43419,0.39635,0.17517,2.17208,4.02451,3.29833,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,101.886,2.84209,3.63922,3.26008,0.54926,0.42529,0.44946,0.19962,2.14478,4.01153,3.26861,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,103.99,2.82398,3.77397,3.32747,0.56532,0.36902,0.44024,0.2058,2.11193,3.97863,3.21651,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,106.083,2.74017,3.60405,3.24592,0.77127,0.38608,0.45514,0.21881,2.05704,3.92294,3.18327,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,108.167,2.77728,3.58962,3.21153,0.77388,0.4346,0.48335,0.23778,2.05245,3.93123,3.17967,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,110.257,2.62859,3.37729,3.16341,0.80163,0.39173,0.48094,0.22541,2.10087,3.81588,3.204,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,112.339,2.67663,3.4775,3.12767,0.77456,0.40562,0.47891,0.23144,2.07212,3.75713,3.17559,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,114.414,2.72661,3.70137,3.15179,0.63173,0.4047,0.49047,0.24293,2.07264,3.73611,3.13713,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,116.491,2.65904,3.41965,3.06708,0.56998,0.4721,0.50672,0.24091,2.05496,3.73569,3.09363,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
